sample	gene	gene_start	gene_end	seg_start	seg_end	seg_length	cf	tcn	lcn	cn_state	filter	tsg	seg	median_cnlr_seg	segclust	mcn	genes_on_seg	gene_snps	gene_het_snps	spans_segs
P-0000232-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0000253-T02-IM5	No_genes_above_ECHO_amplification_threshold																			
P-0000257-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0000258-T02-IM5	No_genes_above_ECHO_amplification_threshold																			
P-0000476-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0000476-T02-IM5	No_genes_above_ECHO_amplification_threshold																			
P-0000476-T03-IM7	No_genes_above_ECHO_amplification_threshold																			
P-0000497-T01-IM3	IGF2	2150342	2179888	532602	64127000	63594398	0.427017380767597	4	2.0	TETRAPLOID	PASS	False	61	0.139397907307743	22	2.0	686	10	0	False
P-0000579-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0000609-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0000719-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0000723-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0000815-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0000905-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001016-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001111-T01-IM3	AXIN2	63524681	63557765	62006432	63554431	1547999	0.191166007405248	9	nan	INDETERMINATE	PASS	True	64	0.609860673616372	28	nan	17	26	1	True
P-0001111-T01-IM3	BRIP1	59758627	59940882	47700100	59938950	12238850	0.191166007405248	16	nan	AMP	suppress_segment_too_large	True	63	1.08432334077804	33	nan	107	45	3	False
P-0001111-T01-IM3	CBFB	67063019	67134961	26320139	89250882	62930743	0.191166007405248	7	2.0	AMP	suppress_segment_too_large	True	58	0.399834332422038	26	5.0	506	10	0	False
P-0001111-T01-IM3	CD79B	62006100	62009714	62006432	63554431	1547999	0.191166007405248	9	nan	INDETERMINATE	PASS	False	64	0.609860673616372	28	nan	17	9	3	False
P-0001111-T01-IM3	H1-2																			
P-0001111-T01-IM3	H2BC5																			
P-0001111-T01-IM3	H3C1																			
P-0001111-T01-IM3	H3C2																			
P-0001111-T01-IM3	PRKAR1A	66507921	66547460	63554595	73775250	10220655	0.191166007405248	18	nan	AMP	suppress_segment_too_large	False	65	1.19202152398713	35	nan	93	19	0	False
P-0001111-T01-IM3	RAD51C	56769934	56812972	47700100	59938950	12238850	0.191166007405248	16	nan	AMP	suppress_segment_too_large	True	63	1.08432334077804	33	nan	107	20	1	False
P-0001111-T01-IM3	RNF43	56429861	56494956	47700100	59938950	12238850	0.191166007405248	16	nan	AMP	suppress_segment_too_large	True	63	1.08432334077804	33	nan	107	23	4	False
P-0001111-T01-IM3	SOX9	70117161	70122561	63554595	73775250	10220655	0.191166007405248	18	nan	AMP	suppress_segment_too_large	True	65	1.19202152398713	35	nan	93	13	2	False
P-0001233-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001377-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001377-T02-IM5	No_genes_above_ECHO_amplification_threshold																			
P-0001432-T01-IM3	MYCN	16080686	16087129	4562350	16087600	11525250	0.3	7	nan	INDETERMINATE	PASS	False	4	0.860645589558833	20	nan	39	12	0	False
P-0001432-T02-IM5	ALK	29415640	30144432	17675735	44561650	26885915	0.302499095967224	4	nan	GAIN (many states)	PASS	False	5	0.436970402677408	12	nan	181	66	3	False
P-0001432-T02-IM5	ASXL2	25956622	26101385	17675735	44561650	26885915	0.302499095967224	4	nan	GAIN (many states)	PASS	True	5	0.436970402677408	12	nan	181	35	0	False
P-0001432-T02-IM5	CENPA	26987157	27023935	17675735	44561650	26885915	0.302499095967224	4	nan	GAIN (many states)	PASS	False	5	0.436970402677408	12	nan	181	9	4	False
P-0001432-T02-IM5	DNMT3A	25450724	25565459	17675735	44561650	26885915	0.302499095967224	4	nan	GAIN (many states)	PASS	True	5	0.436970402677408	12	nan	181	45	0	False
P-0001432-T02-IM5	MYCN	16080686	16087129	16080850	16087700	6850	0.302499095967224	38	nan	AMP	PASS	False	4	2.70984566212938	15	nan	1	11	0	False
P-0001436-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001436-T02-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001540-T01-IM3	BRD4	15346330	15443356	15300069	17193635	1893566	0.335057308428586	12	nan	AMP	PASS	False	121	1.46395453273007	46	nan	42	44	0	False
P-0001540-T01-IM3	JUN	59246460	59249999	51434521	59564450	8129929	0.335057308428586	8	nan	INDETERMINATE	PASS	False	4	1.05785912345116	43	nan	69	10	0	False
P-0001540-T01-IM3	NOTCH3	15269849	15311792	11172650	15299648	4126998	0.335057308428586	9	0.0	INDETERMINATE	PASS	True	120	1.15084195437711	44	9.0	137	65	22	True
P-0001579-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001725-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001896-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001956-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001982-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0001988-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0002170-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0002190-T01-IM3	JUN	59246460	59249999	51434450	59564350	8129900	0.289483229581431	10	nan	AMP	PASS	False	3	0.889894548503439	44	nan	69	10	0	False
P-0002190-T02-IM5	MDM2	69201956	69244466	63294950	91237868	27942918	0.593850229800108	5	nan	GAIN (many states)	PASS	False	51	0.843616145073011	40	nan	106	22	2	False
P-0002190-T02-IM5	NBN	90945564	91015456	90947900	145742879	54794979	0.593850229800108	6	2.0	AMP	suppress_segment_too_large	True	39	1.04705742627741	41	4.0	259	33	0	False
P-0002236-T01-IM3	MYCN	16080686	16087129	16080950	17986683	1905733	0.222540087296286	87	nan	AMP	PASS	False	5	3.32125875792514	21	nan	6	11	0	False
P-0002240-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0002250-T01-IM3	FGFR1																			
P-0002250-T01-IM3	MYC																			
P-0002250-T01-IM3	NBN																			
P-0002250-T01-IM3	NKX3-1																			
P-0002250-T01-IM3	RECQL4																			
P-0002250-T01-IM3	SOX17																			
P-0002258-T01-IM3	No_genes_above_ECHO_amplification_threshold																			
P-0002269-T01-IM3	ALOX12B	7975954	7991034	7976140	17119869	9143729	0.923806700772565	7	nan	INDETERMINATE	PASS	False	79	1.13320805261771	53	nan	89	27	4	False
P-0002269-T01-IM3	AURKB	8108051	8113918	7976140	17119869	9143729	0.923806700772565	7	nan	INDETERMINATE	PASS	False	79	1.13320805261771	53	nan	89	13	0	False
