sample_id,chromosome,gene,log2,cn,ecDNA_prob,ecDNA_status
P-0000232-T01-IM3-P-0000232-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000253-T02-IM5-P-0000253-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000257-T01-IM3-P-0000257-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000258-T02-IM5-P-0000258-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000476-T01-IM3-P-0000476-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000476-T02-IM5-P-0000476-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000476-T03-IM7-P-0000476-N01-IM7,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000497-T01-IM3-P-0000497-N01-IM3,11,IGF2,2.50084,12,0.41199253659691193,non-ecDNA
P-0000579-T01-IM3-P-0000579-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000609-T01-IM3-P-0000609-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000719-T01-IM3-P-0000719-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000723-T01-IM3-P-0000723-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000815-T01-IM3-P-0000815-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0000905-T01-IM3-P-0000905-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001016-T01-IM3-P-0001016-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001111-T01-IM3-P-0001111-N01-IM3,6,H3C2,1.99363,8,0.28140057287252274,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,6,H1-2,1.99363,8,0.2923160240957583,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,6,H3C1,1.99363,8,0.281223027630178,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,6,H2BC5,1.99363,8,0.3863535302652115,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,16,CBFB,2.37403,11,0.34175155424745524,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,17,RAD51C,3.30402,20,0.2783753060449117,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,17,BRIP1,3.30402,20,0.4180020798542797,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,17,RNF43,3.30402,20,0.3813337883340286,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,17,AXIN2,2.18293,10,0.29451851339457685,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,17,CD79B,2.18293,10,0.23060256969947046,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,17,PRKAR1A,3.01524,17,0.46109366053378914,non-ecDNA
P-0001111-T01-IM3-P-0001111-N01-IM3,17,SOX9,2.89371,15,0.2980368070100443,non-ecDNA
P-0001233-T01-IM3-P-0001233-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001377-T01-IM3-P-0001377-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001377-T02-IM5-P-0001377-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001432-T01-IM3-P-0001432-N01-IM3,2,MYCN,4.77542,55,0.5721425761634705,ecDNA
P-0001432-T02-IM5-P-0001432-N01-IM5,2,MYCN,8.49,720,0.8121109230169361,ecDNA
P-0001432-T02-IM5-P-0001432-N01-IM5,2,CENPA,2.1499,9,0.21708432124350366,non-ecDNA
P-0001432-T02-IM5-P-0001432-N01-IM5,2,ASXL2,2.1499,9,0.2969651515283041,non-ecDNA
P-0001432-T02-IM5-P-0001432-N01-IM5,2,DNMT3A,2.1499,9,0.2896670332457916,non-ecDNA
P-0001432-T02-IM5-P-0001432-N01-IM5,2,ALK,2.1499,9,0.3479303610560258,non-ecDNA
P-0001436-T01-IM3-P-0001436-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001436-T02-IM3-P-0001436-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001540-T01-IM3-P-0001540-N01-IM3,1,JUN,1.8165,8,0.2962357941867987,non-ecDNA
P-0001540-T01-IM3-P-0001540-N01-IM3,19,BRD4,2.30861,10,0.3402328467164353,non-ecDNA
P-0001540-T01-IM3-P-0001540-N01-IM3,19,NOTCH3,2.30861,10,0.3131540245235919,non-ecDNA
P-0001579-T01-IM3-P-0001579-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001725-T01-IM3-P-0001725-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001896-T01-IM3-P-0001896-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001956-T01-IM3-P-0001956-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001982-T01-IM3-P-0001982-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0001988-T01-IM3-P-0001988-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0002170-T01-IM3-P-0002170-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0002190-T01-IM3-P-0002190-N01-IM3,1,JUN,1.95965,8,0.4422307054092189,non-ecDNA
P-0002190-T02-IM5-P-0002190-N01-IM5,8,NBN,1.87983,8,0.32111654711059406,non-ecDNA
P-0002190-T02-IM5-P-0002190-N01-IM5,12,MDM2,1.87022,8,0.30532141304389,non-ecDNA
P-0002236-T01-IM3-P-0002236-N01-IM3,2,MYCN,6.81075,225,0.6828159036769086,ecDNA
P-0002240-T01-IM3-P-0002240-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0002250-T01-IM3,8,FGFR1,1.8123,8,0.22603656690787718,non-ecDNA
P-0002250-T01-IM3,8,NKX3-1,1.8123,8,0.1651694169419981,non-ecDNA
P-0002250-T01-IM3,8,RECQL4,1.80818,8,0.1534239707976336,non-ecDNA
P-0002250-T01-IM3,8,NBN,1.80818,8,0.19783386934878458,non-ecDNA
P-0002250-T01-IM3,8,MYC,1.80818,8,0.1561310612269727,non-ecDNA
P-0002250-T01-IM3,8,SOX17,1.80818,8,0.13861016958288752,non-ecDNA
P-0002258-T01-IM3-P-0002258-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0002269-T01-IM3-P-0002269-N01-IM3,1,JUN,2.26846,10,0.4493344356628368,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,5,CSF1R,1.82602,8,0.3350121091457087,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,5,PDGFRB,1.82602,8,0.3237854683077815,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,17,AURKB,2.24276,10,0.21505054354556405,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,17,FLCN,2.24276,10,0.25555038450082274,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,17,MAP2K4,2.24276,10,0.30322139470716936,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,17,ALOX12B,2.24276,10,0.241503243072602,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,17,NCOR1,2.24276,10,0.3163364319641215,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,19,INSR,1.89986,8,0.3526992240235107,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,19,DNMT1,2.56853,12,0.3698568241308404,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,19,DNMT1,2.74986,14,0.4080629582882461,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,19,KEAP1,2.74986,14,0.3647200756670382,non-ecDNA
P-0002269-T01-IM3-P-0002269-N01-IM3,19,SMARCA4,2.49613,12,0.46227458496805857,non-ecDNA
P-0002448-T02-IM3-P-0002448-N01-IM3,19,DNMT1,1.9285,8,0.4487105348733224,non-ecDNA
P-0002493-T01-IM3-P-0002493-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0002578-T01-IM3-P-0002578-N01-IM3,1,NRAS,2.67395,13,0.2713609344233445,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,NOTCH2,2.67395,13,0.3523108109236442,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,VTCN1,2.67395,13,0.3205866738883797,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,TENT5C,2.67395,13,0.28932304794375074,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,MCL1,2.63176,13,0.20422184164263932,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,COP1,2.63176,13,0.3155668135090959,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,RIT1,2.63176,13,0.22768741053368127,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,SDHC,2.63176,13,0.26408606319796174,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,NTRK1,2.63176,13,0.2729733758561069,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,DDR2,2.63176,13,0.29922018845300496,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,AKT3,2.41266,11,0.28210497391045614,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,IKBKE,2.41266,11,0.21045251856781744,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,MDM4,2.41266,11,0.22206068317901445,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,FH,2.41266,11,0.20612122992025989,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,IL10,2.41266,11,0.165090566558895,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,CDC73,2.41266,11,0.25336756465558935,non-ecDNA
P-0002578-T01-IM3-P-0002578-N01-IM3,1,PARP1,2.41266,11,0.22536354942003173,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,NRAS,2.60865,13,0.25876679177376993,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,VTCN1,2.60865,13,0.30677672792673233,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,TENT5C,2.60865,13,0.2762324881610824,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,NOTCH2,2.60865,13,0.33804025237955304,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,CSDE1,2.60865,13,0.29481721743652806,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,H3C13,2.66741,13,0.13018728075395752,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,H3C15,2.66741,13,0.1318804814539496,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,IKBKE,2.66741,13,0.21481022529660163,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,DDR2,2.66741,13,0.26308091677649265,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,H3P6,2.66741,13,0.18958828510513862,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,FH,2.66741,13,0.21041258661004716,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,COP1,2.66741,13,0.2783100390392809,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,CDC73,2.66741,13,0.25833945151984267,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,MCL1,2.66741,13,0.17658790967082286,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,H3C14,2.66741,13,0.1320123265265133,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,SDHC,2.66741,13,0.2307268287548261,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,AKT3,2.66741,13,0.28745995883098585,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,MDM4,2.66741,13,0.22659192404198342,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,IL10,2.66741,13,0.16870713345242128,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,H3-4,2.66741,13,0.13181421884269728,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,H3-3A,2.66741,13,0.1917559675065909,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,RIT1,2.66741,13,0.19767132470082383,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,NUF2,2.66741,13,0.2211115793641721,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,ELF3,2.66741,13,0.18186640561911355,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,NTRK1,2.66741,13,0.23886671829662562,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,SMYD3,2.66741,13,0.3071230460768679,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,1,PARP1,2.66741,13,0.22994306812346113,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,12,KRAS,3.79471,28,0.3933921929535289,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,12,H3-5,3.79471,28,0.27127118773226794,non-ecDNA
P-0002578-T04-IM6-P-0002578-N01-IM6,12,ARID2,3.63163,25,0.4243359886505217,non-ecDNA
P-0002604-T01-IM3-P-0002604-N01-IM3,5,TERT,3.2933,20,0.5331328373830438,ecDNA
P-0002604-T01-IM3-P-0002604-N01-IM3,5,IL7R,3.22488,19,0.49231669689150687,non-ecDNA
P-0002604-T02-IM5-P-0002604-N01-IM5,5,TERT,5.03047,66,0.6636792619764518,ecDNA
P-0002604-T02-IM5-P-0002604-N01-IM5,5,IL7R,5.00259,65,0.671724846604367,ecDNA
P-0002604-T02-IM5-P-0002604-N01-IM5,17,STAT5B,1.81552,8,0.40181613669153843,non-ecDNA
P-0002604-T02-IM5-P-0002604-N01-IM5,17,STAT5A,1.81552,8,0.3705829101344751,non-ecDNA
P-0002604-T02-IM5-P-0002604-N01-IM5,17,STAT3,1.81552,8,0.40116724285889355,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,3,MLH1,1.83744,8,0.30651819470821884,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,3,MYD88,1.83744,8,0.23155813895862207,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,3,MAP3K13,2.77438,14,0.46451995284525,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,3,MAP3K13,1.90144,8,0.34293643659151907,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,3,LPP,1.90144,8,0.38209453923941816,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,3,BCL6,1.90144,8,0.25935906072735315,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,3,TP63,2.60951,13,0.38667557667800073,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,7,PMS2,2.07893,9,0.30725696442365896,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,7,RAC1,2.07893,9,0.2991614931716202,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,7,EZH2,3.86397,30,0.49371253151751626,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,7,KMT2C,3.36166,21,0.4489704116093639,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,X,KDM6A,2.11636,9,0.3716143540402159,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,X,KDM6A,2.83607,15,0.44442579553746925,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,X,RBM10,2.33481,11,0.32232309330667336,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,X,GATA1,2.33481,11,0.2702667985223168,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,X,ARAF,2.33481,11,0.2569463224880248,non-ecDNA
P-0002641-T01-IM3-P-0002641-N01-IM3,X,KDM5C,2.36693,11,0.3328827713820951,non-ecDNA
P-0002720-T01-IM3-P-0002720-N01-IM3,17,MAP2K4,3.15745,18,0.427828177387526,non-ecDNA
P-0002720-T01-IM3-P-0002720-N01-IM3,17,NCOR1,2.30377,10,0.39208178043432984,non-ecDNA
P-0002720-T01-IM3-P-0002720-N01-IM3,17,FLCN,2.92249,16,0.3429613374895134,non-ecDNA
P-0002720-T01-IM3-P-0002720-N01-IM3,17,RNF43,2.80717,14,0.38387273280182427,non-ecDNA
P-0002720-T01-IM3-P-0002720-N01-IM3,17,RAD51C,3.1807,19,0.3557357806018652,non-ecDNA
P-0002720-T01-IM3-P-0002720-N01-IM3,17,AXIN2,2.86699,15,0.3574451132163802,non-ecDNA
P-0002882-T01-IM3-P-0002882-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003112-T01-IM5-P-0003112-N01-IM5,19,CALR,1.83457,8,0.44934366015409977,non-ecDNA
P-0003112-T01-IM5-P-0003112-N01-IM5,19,DNAJB1,1.9048,8,0.4525384894257118,non-ecDNA
P-0003149-T01-IM5-P-0003149-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
